OWNER_ID,COMPANY_ID,OWNER_NAME,NATIONALITY_COUNTRY_ID,RESIDENCE_COUNTRY_ID,OWNERSHIP_PERCENTAGE,IS_PEP,PEP_POSITION,SANCTIONS_MATCH,VERIFIED_DATE,CREATED_AT,UPDATED_AT,OWNER_NAME_NORMALIZED
42819,2191,River Brakus,5,5,14.67,False,,False,2025-08-24,2020-02-16 00:29:45,2026-06-24 16:17:32,RIVER BRAKUS
42820,2191,Avis Bernier,22,22,14.67,False,,False,2025-10-24,2020-02-16 00:29:45,2026-06-24 16:17:32,AVIS BERNIER
42818,2191,Augustine Armstrong,14,14,14.67,False,,False,2026-01-24,2020-02-16 00:29:45,2026-06-24 16:17:32,AUGUSTINE ARMSTRONG
42053,1878,Marques Dickens,12,12,14.67,False,,False,2026-05-24,2001-01-25 07:10:23,2026-06-24 16:17:32,MARQUES DICKENS
42051,1878,Maud Miller,22,22,14.67,False,,False,2025-08-24,2001-01-25 07:10:23,2026-06-24 16:17:32,MAUD MILLER
41559,1684,Douglas Hammes,11,11,14.67,False,,False,2025-10-24,2016-11-22 21:23:52,2026-06-24 16:17:32,DOUGLAS HAMMES
41558,1684,Carlos Conroy,20,20,14.67,False,,False,2026-04-24,2016-11-22 21:23:52,2026-06-24 16:17:32,CARLOS CONROY
40936,1439,Jarrell Stiedemann,22,22,14.67,False,,False,2026-06-24,2023-11-19 12:57:41,2026-06-24 16:17:32,JARRELL STIEDEMANN
40937,1439,Sunny Green,3,3,14.67,False,,False,2026-06-24,2023-11-19 12:57:41,2026-06-24 16:17:32,SUNNY GREEN
40935,1439,Jany Gerlach,19,19,14.67,False,,False,2025-07-24,2023-11-19 12:57:41,2026-06-24 16:17:32,JANY GERLACH
48690,4565,Chase Monahan,1,1,14.67,False,,False,2026-01-24,2021-03-01 17:30:00,2026-06-24 16:17:32,CHASE MONAHAN
48691,4565,Alana Tremblay,22,22,14.67,False,,False,2026-05-24,2021-03-01 17:30:00,2026-06-24 16:17:32,ALANA TREMBLAY
48692,4565,Pietro Barton,9,9,14.67,False,,False,2025-11-24,2021-03-01 17:30:00,2026-06-24 16:17:32,PIETRO BARTON
44505,2876,Kris Tremblay,8,8,14.67,False,,False,2025-09-24,2019-09-06 00:21:23,2026-06-24 16:17:32,KRIS TREMBLAY
44503,2876,Brett Luettgen,21,21,14.67,False,,False,2025-10-24,2019-09-06 00:21:23,2026-06-24 16:17:32,BRETT LUETTGEN
47662,4148,Megane VonRueden,9,9,14.67,False,,False,2026-05-24,2013-03-09 15:47:35,2026-06-24 16:17:32,MEGANE VONRUEDEN
47660,4148,Dessie Emmerich,4,4,14.67,False,,False,2025-10-24,2013-03-09 15:47:35,2026-06-24 16:17:32,DESSIE EMMERICH
47661,4148,Kyleigh Schmeler,9,9,14.67,False,,False,2026-01-24,2013-03-09 15:47:35,2026-06-24 16:17:32,KYLEIGH SCHMELER
46597,3717,Minnie Labadie,14,14,14.67,False,,False,2025-08-24,2020-01-25 06:13:04,2026-06-24 16:17:32,MINNIE LABADIE
